Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission
normal,female,pescatarian,twice a day,natural gas,private,hybrid,never,607.79,never,2143.0,medium,1,9.6,4,9.0,No,4016.0
underweight,female,omnivore,less frequently,wood,public,petrol,sometimes,241.58,rarely,1665.0,extra large,9,8.7,9,4.5,Sometimes,3158.77
underweight,male,vegetarian,less frequently,coal,public,electric,never,582.84,rarely,326.0,large,3,1.1,7,6.4,No,3333.56
obese,male,omnivore,daily,natural gas,public,diesel,often,107.51,frequently,2796.0,small,5,9.0,8,8.8,Yes,4150.5
obese,male,vegan,daily,natural gas,public,electric,never,313.58,rarely,1357.0,small,6,1.7,8,11.6,Sometimes,2652.13
normal,male,omnivore,twice a day,wood,public,electric,never,379.18,never,2203.0,large,1,8.7,6,4.7,Yes,2825.24
underweight,male,vegetarian,daily,coal,walk/bicycle,diesel,often,684.67,never,1503.0,extra large,1,3.5,9,9.2,No,2636.94
underweight,male,vegetarian,more frequently,coal,private,electric,never,373.28,frequently,1813.0,medium,4,6.5,0,9.2,Yes,4977.7
underweight,female,vegetarian,more frequently,coal,private,hybrid,sometimes,107.89,never,908.0,small,6,1.3,7,7.0,No,3868.49
overweight,female,vegetarian,more frequently,coal,public,hybrid,sometimes,346.64,rarely,601.0,large,8,7.9,6,9.9,Sometimes,2849.35
normal,female,vegetarian,less frequently,natural gas,public,none,sometimes,449.25,never,1628.0,large,7,2.0,3,6.9,Yes,2610.09
overweight,female,pescatarian,twice a day,coal,public,diesel,sometimes,764.3,frequently,1321.0,medium,2,4.7,5,7.9,No,4266.12
underweight,male,omnivore,more frequently,coal,private,diesel,never,758.72,rarely,1170.0,large,4,8.4,9,10.2,Sometimes,5202.45
obese,male,omnivore,more frequently,wood,public,diesel,sometimes,226.61,rarely,2018.0,large,5,7.3,1,6.2,Sometimes,3027.38
normal,female,vegan,more frequently,electricity,public,none,never,229.6,rarely,2072.0,large,8,1.1,3,6.3,Sometimes,1945.18
overweight,female,pescatarian,more frequently,natural gas,private,hybrid,sometimes,214.37,frequently,138.0,small,7,4.6,7,7.5,No,5122.68
underweight,male,vegetarian,more frequently,wood,private,hybrid,sometimes,652.25,rarely,1016.0,small,4,1.4,3,9.8,Sometimes,3380.36
overweight,male,omnivore,more frequently,wood,private,diesel,often,104.22,frequently,1235.0,extra large,8,7.1,9,2.4,No,5709.77
obese,male,omnivore,twice a day,wood,private,electric,never,189.02,frequently,291.0,medium,8,9.7,3,9.5,Yes,4981.07
normal,female,omnivore,more frequently,natural gas,private,petrol,never,476.57,very frequently,708.0,large,4,6.9,3,4.2,No,6381.7
obese,male,pescatarian,twice a day,electricity,private,petrol,never,273.29,rarely,155.0,large,2,3.0,9,1.8,No,3959.79
obese,male,omnivore,twice a day,natural gas,private,diesel,often,164.65,very frequently,2989.0,small,3,4.2,8,9.7,No,7208.55
normal,female,omnivore,twice a day,coal,public,diesel,never,351.91,never,2210.0,small,5,9.8,1,2.6,Yes,2926.5
underweight,female,omnivore,more frequently,electricity,public,hybrid,often,291.95,rarely,262.0,small,1,3.0,6,3.3,No,2554.59
underweight,female,omnivore,more frequently,natural gas,public,hybrid,never,457.77,frequently,61.0,medium,5,6.1,2,8.8,Yes,4039.77
overweight,female,omnivore,twice a day,natural gas,private,electric,sometimes,785.46,never,2158.0,small,4,4.6,3,7.2,Yes,4561.74
underweight,male,omnivore,twice a day,coal,private,hybrid,often,187.01,never,1318.0,large,5,7.9,0,11.1,Yes,4173.54
underweight,male,vegetarian,more frequently,natural gas,public,petrol,often,360.91,rarely,2360.0,large,1,8.8,2,11.5,Yes,2560.33
underweight,female,omnivore,daily,electricity,private,petrol,often,752.39,rarely,2770.0,large,7,4.1,1,4.5,Sometimes,4011.97
overweight,male,omnivore,daily,wood,walk/bicycle,hybrid,never,713.81,rarely,1798.0,extra large,9,6.9,9,4.6,Yes,2698.61
normal,male,omnivore,daily,natural gas,public,petrol,sometimes,375.99,frequently,561.0,medium,5,5.9,6,3.3,Sometimes,3534.73
underweight,female,omnivore,more frequently,natural gas,private,petrol,often,589.27,frequently,2347.0,large,3,3.5,5,6.7,Yes,5412.32
obese,female,omnivore,twice a day,electricity,walk/bicycle,petrol,often,161.5,rarely,2867.0,large,9,3.4,0,5.2,Yes,2415.84
underweight,male,omnivore,daily,natural gas,private,petrol,never,598.78,never,1741.0,large,6,5.8,7,1.2,Sometimes,4403.8
underweight,female,pescatarian,less frequently,wood,private,none,never,781.0,very frequently,2046.0,small,6,2.4,8,5.3,Sometimes,6791.96
normal,female,omnivore,less frequently,coal,public,diesel,sometimes,476.24,never,1012.0,large,3,8.3,0,1.7,No,2893.83
obese,male,pescatarian,twice a day,coal,private,electric,often,448.94,never,1145.0,small,1,1.6,4,9.8,Sometimes,3708.6
overweight,female,vegetarian,less frequently,coal,walk/bicycle,none,often,231.12,never,2204.0,small,4,1.9,6,11.2,Sometimes,2511.69
underweight,male,vegetarian,more frequently,wood,private,electric,often,543.65,rarely,2783.0,medium,4,4.1,1,4.3,Sometimes,3863.56
underweight,female,omnivore,less frequently,coal,private,none,often,513.31,never,1887.0,medium,3,2.1,5,8.2,No,4893.46
underweight,male,omnivore,twice a day,electricity,public,none,often,556.35,never,2370.0,large,5,5.3,7,2.0,No,2766.6
underweight,female,omnivore,daily,electricity,public,electric,sometimes,118.26,rarely,515.0,medium,9,4.6,7,5.0,Yes,3080.18
obese,female,omnivore,more frequently,wood,private,diesel,often,484.11,never,636.0,small,9,7.5,9,7.3,Yes,3946.4
normal,male,vegan,twice a day,wood,private,hybrid,never,516.45,rarely,1596.0,small,8,9.6,9,2.1,No,3797.56
normal,male,omnivore,more frequently,wood,public,none,often,245.27,frequently,530.0,large,6,7.8,7,5.1,Sometimes,3863.16
underweight,female,omnivore,daily,electricity,private,diesel,often,245.83,frequently,1905.0,large,4,2.6,5,11.5,No,4848.42
overweight,male,pescatarian,daily,wood,public,hybrid,often,293.35,never,875.0,large,2,9.4,5,2.8,No,2379.45
obese,male,pescatarian,daily,wood,public,electric,often,598.21,never,2375.0,small,3,4.5,2,7.8,No,2719.07
obese,female,omnivore,more frequently,coal,public,none,often,524.39,very frequently,2424.0,small,9,5.3,1,10.2,No,5794.15
overweight,female,omnivore,less frequently,wood,public,hybrid,sometimes,692.03,never,1391.0,large,1,4.8,4,9.5,No,2746.45
underweight,male,omnivore,more frequently,natural gas,private,diesel,never,306.96,frequently,542.0,large,7,3.5,8,9.5,Yes,5604.8
underweight,female,omnivore,daily,coal,public,hybrid,sometimes,738.45,never,1940.0,small,6,9.1,3,1.7,Sometimes,3542.48
underweight,female,omnivore,more frequently,electricity,public,electric,never,620.59,very frequently,2978.0,medium,2,4.0,4,11.7,Yes,5295.94
overweight,female,omnivore,more frequently,electricity,private,hybrid,never,376.51,rarely,1868.0,small,5,6.2,5,9.0,Yes,4229.21
obese,male,omnivore,less frequently,electricity,walk/bicycle,petrol,never,166.68,rarely,107.0,medium,2,3.2,5,11.5,No,2075.36
normal,male,omnivore,daily,coal,private,none,often,279.89,frequently,52.0,large,9,8.2,3,11.8,Yes,5639.43
underweight,female,omnivore,less frequently,electricity,private,diesel,sometimes,769.74,rarely,961.0,small,5,8.0,3,4.9,Sometimes,4530.49
overweight,male,omnivore,daily,coal,private,diesel,never,317.25,rarely,587.0,large,6,3.7,7,7.0,Sometimes,5037.03
overweight,female,omnivore,twice a day,coal,walk/bicycle,none,never,330.93,rarely,2439.0,large,4,7.1,4,9.0,Sometimes,3229.62
underweight,male,pescatarian,daily,natural gas,private,none,often,232.71,frequently,2534.0,large,1,7.3,4,10.3,No,4890.42
overweight,female,vegetarian,more frequently,natural gas,public,petrol,often,664.8,never,776.0,extra large,3,6.1,8,11.7,Yes,2633.92
underweight,male,omnivore,twice a day,natural gas,public,petrol,sometimes,292.95,never,977.0,extra large,5,6.4,3,11.7,No,2601.7
underweight,male,omnivore,more frequently,natural gas,private,diesel,never,331.18,rarely,709.0,small,3,6.2,6,4.6,Yes,4490.39
underweight,male,omnivore,twice a day,natural gas,private,hybrid,never,390.04,never,2725.0,extra large,8,1.7,4,8.5,Yes,4614.72
obese,female,pescatarian,more frequently,electricity,public,none,never,403.61,rarely,1508.0,small,2,7.0,8,2.6,Sometimes,2958.56
overweight,male,pescatarian,twice a day,electricity,private,petrol,sometimes,387.94,never,1968.0,medium,2,5.2,7,9.9,Yes,3951.7
normal,female,omnivore,twice a day,electricity,public,petrol,often,452.62,rarely,1246.0,small,1,4.9,7,2.8,Sometimes,2924.21
obese,female,vegan,more frequently,natural gas,private,petrol,often,670.16,never,1893.0,extra large,1,8.7,9,10.8,No,4133.17
underweight,male,omnivore,twice a day,wood,private,hybrid,sometimes,673.5,rarely,1158.0,extra large,4,1.2,9,11.8,Yes,4326.5
overweight,female,omnivore,more frequently,electricity,public,diesel,often,658.82,never,1019.0,medium,8,3.3,2,1.9,Yes,2161.11
normal,male,pescatarian,less frequently,electricity,private,diesel,never,170.79,never,1903.0,medium,8,2.1,8,6.6,Sometimes,3655.56
underweight,male,vegetarian,more frequently,wood,private,petrol,never,659.78,never,1773.0,small,8,1.3,7,3.9,Yes,3569.72
overweight,female,pescatarian,less frequently,natural gas,private,hybrid,sometimes,184.18,very frequently,881.0,small,1,3.5,2,6.2,Sometimes,6525.81
underweight,female,vegetarian,twice a day,coal,private,hybrid,often,187.31,never,448.0,large,1,9.9,9,4.2,No,4454.47
normal,female,omnivore,daily,wood,private,diesel,sometimes,763.5,frequently,1106.0,large,7,3.4,0,1.7,Yes,4888.72
overweight,female,vegetarian,less frequently,wood,public,none,sometimes,673.58,never,1246.0,small,7,7.0,4,5.3,No,2434.48
normal,female,omnivore,daily,electricity,private,petrol,often,486.69,never,1886.0,medium,5,2.1,3,3.3,No,3399.6
underweight,male,vegetarian,daily,electricity,private,hybrid,sometimes,712.48,rarely,2744.0,small,8,6.4,7,7.0,Sometimes,4123.76
underweight,female,omnivore,more frequently,natural gas,public,none,never,792.56,rarely,109.0,large,6,9.9,5,8.5,Sometimes,3382.8
normal,female,vegetarian,more frequently,coal,private,electric,sometimes,527.45,very frequently,731.0,medium,1,3.6,9,5.5,Yes,6371.1
obese,female,omnivore,daily,coal,private,petrol,never,529.03,very frequently,581.0,large,7,8.6,4,3.2,No,7096.56
obese,female,pescatarian,more frequently,wood,walk/bicycle,electric,never,628.1,frequently,1507.0,small,8,10.0,8,3.1,Sometimes,3162.22
overweight,male,omnivore,daily,natural gas,public,diesel,sometimes,262.5,rarely,1289.0,small,8,6.3,5,1.0,Yes,3299.08
overweight,female,pescatarian,more frequently,coal,public,diesel,never,216.99,rarely,2187.0,extra large,9,3.8,2,8.7,No,2979.46
obese,female,omnivore,more frequently,wood,public,diesel,sometimes,631.71,rarely,727.0,small,3,7.1,5,3.8,Yes,3403.0
normal,female,omnivore,more frequently,electricity,private,hybrid,sometimes,341.43,very frequently,1783.0,extra large,2,8.6,3,11.7,No,6058.42
underweight,female,omnivore,daily,coal,public,hybrid,often,194.55,rarely,2652.0,extra large,8,2.5,4,9.2,No,3156.26
underweight,male,omnivore,twice a day,wood,private,none,sometimes,320.41,rarely,2732.0,extra large,4,5.1,5,4.2,Yes,4263.61
overweight,female,vegetarian,more frequently,coal,private,electric,never,351.05,never,2876.0,extra large,2,3.9,8,2.7,No,4333.24
overweight,male,omnivore,more frequently,natural gas,private,diesel,sometimes,775.66,never,2320.0,large,2,3.6,2,7.9,Sometimes,4438.55
underweight,female,vegan,daily,wood,private,diesel,sometimes,588.57,very frequently,2718.0,small,2,8.7,0,10.5,Yes,5997.32
obese,male,omnivore,less frequently,natural gas,private,hybrid,often,471.6,rarely,704.0,small,5,4.8,1,7.4,No,4129.77
overweight,male,omnivore,daily,wood,walk/bicycle,hybrid,often,778.21,rarely,593.0,small,8,4.1,7,1.1,No,2243.67
underweight,male,vegetarian,more frequently,electricity,private,hybrid,never,732.2,never,19.0,extra large,9,6.4,3,9.6,No,3176.69
overweight,female,pescatarian,more frequently,coal,private,petrol,never,458.4,frequently,2121.0,large,6,3.0,6,11.6,No,5742.79
obese,female,omnivore,twice a day,electricity,private,electric,never,733.98,never,2812.0,large,8,3.1,1,1.5,No,3894.51
normal,male,omnivore,more frequently,natural gas,private,electric,never,383.01,frequently,561.0,extra large,6,5.7,9,9.9,Yes,5465.54
overweight,male,pescatarian,less frequently,coal,public,petrol,often,261.29,never,1911.0,extra large,1,4.7,7,8.9,Yes,2910.63
underweight,male,omnivore,more frequently,electricity,private,diesel,sometimes,262.87,frequently,2239.0,small,9,3.7,9,5.4,Sometimes,5234.39
obese,male,vegan,more frequently,wood,private,none,often,563.62,frequently,2783.0,large,7,1.5,8,8.0,Sometimes,4325.98
underweight,male,vegan,twice a day,wood,private,none,often,450.75,never,1941.0,medium,2,5.7,6,2.7,Yes,3627.68
obese,female,pescatarian,less frequently,electricity,public,diesel,often,561.27,rarely,2911.0,medium,3,8.3,9,8.9,Yes,2923.87
normal,female,omnivore,less frequently,coal,private,none,sometimes,580.25,rarely,1034.0,medium,2,8.7,0,7.4,No,5294.35
normal,male,pescatarian,more frequently,natural gas,private,hybrid,sometimes,115.63,never,1050.0,medium,9,3.1,1,2.0,Sometimes,3421.93
underweight,female,omnivore,less frequently,wood,private,electric,often,137.83,frequently,1629.0,extra large,8,6.4,8,10.6,Sometimes,5424.03
normal,female,omnivore,twice a day,natural gas,private,hybrid,sometimes,472.87,rarely,1151.0,small,5,8.7,9,2.4,Sometimes,4638.57
overweight,female,omnivore,daily,coal,private,none,often,233.72,rarely,4.0,medium,4,4.7,6,5.8,No,5080.66
obese,female,omnivore,more frequently,coal,public,none,often,542.77,never,2195.0,small,7,9.4,2,2.4,Sometimes,3491.38
obese,female,vegetarian,more frequently,wood,public,electric,never,486.53,rarely,2255.0,small,9,9.1,4,8.1,No,2239.99
obese,male,pescatarian,less frequently,natural gas,public,hybrid,often,510.03,frequently,2241.0,large,8,2.9,0,9.1,No,3888.34
normal,female,pescatarian,more frequently,coal,private,electric,often,311.72,rarely,1035.0,medium,8,3.3,9,11.4,No,4679.79
normal,female,omnivore,more frequently,natural gas,private,none,often,547.89,very frequently,1567.0,small,2,2.6,2,3.8,No,6546.31
overweight,female,omnivore,twice a day,wood,private,electric,never,680.64,very frequently,1080.0,large,9,2.8,3,5.0,Yes,6120.31
normal,female,omnivore,daily,wood,walk/bicycle,electric,sometimes,798.65,never,48.0,extra large,2,9.2,3,5.3,Sometimes,2667.05
obese,female,vegan,daily,coal,public,none,never,686.91,never,1687.0,small,8,9.4,6,2.1,Yes,3171.7
overweight,female,omnivore,less frequently,coal,public,electric,sometimes,490.25,frequently,371.0,small,5,1.5,4,9.9,Sometimes,4401.38
overweight,female,vegetarian,twice a day,natural gas,private,hybrid,never,235.4,rarely,240.0,large,6,6.3,8,1.9,Yes,4105.97
obese,female,omnivore,twice a day,coal,private,none,sometimes,577.01,never,2266.0,small,9,6.1,6,4.7,No,4916.12
underweight,female,omnivore,twice a day,wood,private,electric,never,756.36,never,29.0,extra large,8,4.5,1,3.1,Yes,4176.1
normal,male,pescatarian,twice a day,coal,public,diesel,often,248.31,rarely,2877.0,extra large,5,6.7,7,8.3,No,3210.07
normal,male,omnivore,more frequently,electricity,walk/bicycle,hybrid,sometimes,279.2,frequently,1546.0,large,6,9.5,1,11.0,Yes,2731.04
obese,female,vegetarian,less frequently,wood,walk/bicycle,hybrid,never,204.31,never,2949.0,medium,5,2.5,6,9.2,No,1987.48
underweight,female,vegan,less frequently,natural gas,private,hybrid,never,615.71,never,174.0,small,9,2.1,4,9.5,Yes,3475.07
normal,male,omnivore,more frequently,coal,private,petrol,never,384.59,very frequently,1751.0,small,5,1.3,9,1.9,No,6802.47
underweight,female,omnivore,less frequently,coal,walk/bicycle,none,sometimes,143.89,frequently,1048.0,medium,6,4.3,5,9.1,Sometimes,3174.02
obese,male,omnivore,twice a day,wood,public,petrol,often,712.46,rarely,2530.0,extra large,1,4.0,3,1.7,No,3130.39
obese,male,vegan,more frequently,wood,private,electric,never,490.37,frequently,1084.0,small,8,4.9,4,6.3,Yes,4322.25
underweight,male,omnivore,more frequently,natural gas,private,none,sometimes,331.77,rarely,781.0,large,8,5.5,4,8.6,Sometimes,4304.62
obese,male,pescatarian,daily,wood,private,hybrid,sometimes,340.79,frequently,2573.0,large,8,7.8,6,3.8,No,5118.96
obese,female,pescatarian,more frequently,natural gas,private,hybrid,often,303.18,rarely,1124.0,large,7,4.5,3,8.5,Yes,3788.28
overweight,male,pescatarian,daily,coal,private,hybrid,often,418.84,never,50.0,small,7,4.0,4,10.7,Yes,4175.79
underweight,female,omnivore,more frequently,natural gas,public,hybrid,often,335.93,frequently,1171.0,medium,6,8.4,3,10.7,No,4097.52
normal,female,pescatarian,less frequently,natural gas,private,electric,sometimes,483.56,rarely,1964.0,small,7,8.6,3,3.1,Sometimes,3565.95
normal,female,vegan,daily,natural gas,private,diesel,sometimes,641.46,very frequently,763.0,medium,9,3.1,7,4.0,Yes,6071.77
overweight,male,omnivore,daily,coal,private,none,often,572.12,rarely,1296.0,medium,5,3.8,4,8.3,Yes,4852.33
obese,male,omnivore,daily,electricity,public,diesel,never,306.12,very frequently,170.0,small,9,8.4,8,10.3,Yes,5295.62
obese,male,vegan,daily,electricity,public,none,often,470.12,very frequently,1764.0,extra large,9,1.7,4,6.0,Sometimes,4443.03
overweight,female,omnivore,twice a day,natural gas,private,hybrid,often,688.09,never,2269.0,medium,4,3.9,7,11.1,Sometimes,4091.85
overweight,female,vegetarian,more frequently,wood,walk/bicycle,petrol,often,147.74,frequently,1240.0,small,9,5.0,2,7.3,Yes,2612.48
obese,male,omnivore,twice a day,electricity,walk/bicycle,electric,often,154.81,rarely,1261.0,extra large,8,2.7,6,3.9,Yes,2242.28
underweight,female,omnivore,less frequently,coal,private,none,never,489.32,very frequently,265.0,extra large,5,2.6,0,1.2,Sometimes,6992.24
overweight,male,vegetarian,more frequently,natural gas,private,hybrid,never,547.38,rarely,606.0,small,3,4.8,4,9.9,Sometimes,3591.09
underweight,male,omnivore,twice a day,electricity,public,petrol,often,247.99,frequently,464.0,small,9,7.8,1,2.0,No,3415.57
normal,female,omnivore,more frequently,coal,public,hybrid,sometimes,621.65,rarely,1445.0,extra large,3,8.6,7,1.9,No,3924.41
obese,female,omnivore,twice a day,natural gas,walk/bicycle,electric,sometimes,552.38,never,1588.0,small,3,9.8,5,9.5,No,2881.33
underweight,male,omnivore,less frequently,electricity,public,petrol,never,746.3,never,2847.0,extra large,3,1.7,4,1.3,No,2762.55
underweight,male,omnivore,twice a day,natural gas,public,none,often,218.27,rarely,220.0,extra large,1,3.0,2,10.3,Yes,3065.05
obese,female,omnivore,less frequently,electricity,private,none,sometimes,625.96,frequently,1800.0,extra large,6,7.8,0,7.6,Yes,4866.36
obese,female,vegan,daily,electricity,private,none,never,158.55,rarely,1579.0,large,3,5.9,9,8.0,No,3697.57
normal,female,omnivore,twice a day,wood,private,none,never,495.7,rarely,1549.0,small,3,3.9,9,11.3,Yes,4716.26
obese,female,pescatarian,daily,electricity,private,petrol,never,486.33,never,2619.0,large,9,2.9,9,10.5,Sometimes,3530.08
underweight,male,omnivore,less frequently,wood,public,electric,never,371.87,rarely,617.0,small,7,3.5,9,1.8,Sometimes,3303.8
overweight,male,vegetarian,daily,coal,public,petrol,often,691.2,never,122.0,medium,8,4.9,7,10.4,No,2322.96
obese,male,omnivore,twice a day,electricity,public,none,never,103.06,frequently,2017.0,large,1,2.6,4,8.3,Yes,3608.53
obese,male,vegan,more frequently,natural gas,private,electric,sometimes,464.13,very frequently,1035.0,small,8,9.7,8,4.5,Sometimes,6081.97
overweight,male,omnivore,twice a day,wood,public,diesel,often,252.01,rarely,53.0,small,8,2.0,6,10.4,Yes,2963.73
obese,male,omnivore,daily,electricity,private,diesel,never,620.45,never,754.0,extra large,8,9.9,0,1.3,Sometimes,3965.49
obese,male,omnivore,daily,wood,private,petrol,sometimes,130.15,never,928.0,medium,6,8.6,0,10.2,Yes,4177.14
overweight,male,omnivore,twice a day,natural gas,public,none,sometimes,682.09,rarely,1851.0,medium,5,4.8,6,7.8,Sometimes,3646.45
underweight,female,omnivore,twice a day,natural gas,public,diesel,sometimes,686.66,rarely,518.0,small,4,7.7,6,3.9,Sometimes,3321.24
normal,female,omnivore,twice a day,natural gas,walk/bicycle,diesel,often,683.01,frequently,1239.0,medium,9,7.0,8,1.1,Sometimes,4187.54
normal,male,vegetarian,twice a day,coal,private,hybrid,often,206.8,never,1447.0,medium,7,2.9,1,6.7,No,3670.74
normal,female,omnivore,less frequently,coal,private,hybrid,sometimes,541.28,frequently,1378.0,large,1,4.1,6,5.6,Yes,5457.14
underweight,male,omnivore,more frequently,natural gas,private,electric,often,110.06,rarely,2922.0,medium,1,5.6,1,10.5,No,4235.22
normal,male,pescatarian,daily,coal,private,electric,never,693.57,rarely,137.0,medium,1,6.7,9,9.7,Yes,4626.56
underweight,female,pescatarian,less frequently,coal,public,none,never,606.08,rarely,2853.0,extra large,4,5.9,9,7.5,Sometimes,2739.1
obese,male,omnivore,twice a day,coal,public,diesel,never,471.81,never,1746.0,extra large,9,5.3,1,2.7,No,3451.54
normal,female,omnivore,twice a day,coal,public,petrol,often,611.41,rarely,2387.0,large,3,5.0,4,9.0,Sometimes,3579.94
overweight,male,omnivore,less frequently,coal,private,petrol,often,166.03,frequently,1291.0,small,1,5.5,8,7.5,No,5882.83
underweight,male,pescatarian,twice a day,coal,public,hybrid,often,470.06,rarely,1362.0,extra large,1,4.9,8,1.2,Yes,3279.49
normal,female,pescatarian,daily,natural gas,private,electric,sometimes,303.89,frequently,2638.0,large,3,5.9,9,9.4,Yes,4857.86
overweight,female,omnivore,daily,coal,public,none,never,780.83,rarely,2688.0,medium,7,9.0,0,10.1,Yes,3658.89
normal,male,vegetarian,daily,coal,private,hybrid,sometimes,699.98,never,716.0,large,8,6.7,6,9.5,Sometimes,4115.54
underweight,female,vegetarian,less frequently,wood,private,hybrid,sometimes,613.29,rarely,598.0,extra large,4,7.5,9,2.9,No,3805.07
underweight,female,omnivore,twice a day,wood,private,none,never,753.62,rarely,1489.0,medium,2,6.4,9,6.5,No,4565.65
obese,female,vegetarian,less frequently,coal,walk/bicycle,none,often,342.79,rarely,2701.0,large,7,6.8,2,6.8,No,2523.85
underweight,female,omnivore,daily,electricity,private,diesel,sometimes,730.62,never,967.0,extra large,9,6.2,9,11.3,No,3632.55
normal,female,omnivore,less frequently,electricity,private,none,sometimes,327.67,rarely,1956.0,large,6,1.2,9,11.2,No,4384.29
underweight,male,omnivore,twice a day,coal,public,none,often,612.96,never,2124.0,small,2,10.0,0,1.7,No,3419.85
overweight,male,omnivore,twice a day,natural gas,private,hybrid,often,615.49,never,2336.0,medium,9,1.3,1,12.0,Yes,4332.63
obese,female,omnivore,more frequently,natural gas,private,hybrid,never,112.84,rarely,1692.0,large,7,4.6,5,9.7,Yes,4296.36
obese,female,vegan,more frequently,wood,private,petrol,sometimes,352.74,rarely,1207.0,large,9,1.9,9,5.1,No,4087.06
underweight,male,omnivore,more frequently,natural gas,private,petrol,never,113.6,very frequently,2901.0,medium,2,1.9,1,9.2,No,6652.1
normal,female,omnivore,daily,natural gas,walk/bicycle,petrol,sometimes,797.96,rarely,1834.0,extra large,4,8.1,1,5.1,No,2790.75
obese,female,omnivore,more frequently,natural gas,public,none,never,185.54,frequently,2186.0,large,6,4.8,3,11.3,No,3568.29
normal,female,vegan,daily,coal,private,diesel,never,479.97,rarely,1035.0,extra large,7,8.2,2,5.2,Yes,3646.45
normal,male,omnivore,less frequently,coal,walk/bicycle,hybrid,often,653.39,frequently,2010.0,small,3,3.5,7,9.4,Sometimes,4236.75
overweight,male,omnivore,twice a day,electricity,private,electric,sometimes,240.88,never,773.0,medium,5,3.3,7,2.7,Yes,4024.41
obese,male,omnivore,less frequently,wood,private,diesel,never,439.54,very frequently,735.0,extra large,4,3.3,5,10.4,No,6489.59
underweight,female,omnivore,more frequently,electricity,private,electric,often,525.2,rarely,2144.0,extra large,5,6.5,3,7.8,No,4263.78
normal,female,vegan,more frequently,natural gas,private,none,often,212.14,frequently,1564.0,extra large,6,8.3,6,9.9,Yes,4534.41
obese,male,vegan,daily,natural gas,private,electric,often,644.99,rarely,2050.0,small,6,5.1,8,5.6,Yes,4172.04
obese,female,omnivore,daily,electricity,walk/bicycle,petrol,sometimes,309.54,never,808.0,medium,7,4.4,1,4.8,Sometimes,1729.87
normal,female,vegan,less frequently,electricity,public,hybrid,never,247.72,rarely,1796.0,extra large,6,9.8,5,6.9,Sometimes,2143.83
underweight,female,pescatarian,less frequently,coal,private,diesel,sometimes,490.8,never,1332.0,extra large,6,2.1,6,5.3,Yes,4232.74
obese,male,vegetarian,more frequently,coal,public,petrol,sometimes,387.22,rarely,1791.0,small,4,5.4,0,6.7,Yes,2874.49
obese,female,omnivore,daily,wood,public,hybrid,often,744.2,never,873.0,medium,2,4.7,5,5.7,Yes,2598.32
underweight,male,omnivore,daily,coal,walk/bicycle,petrol,sometimes,716.04,rarely,2146.0,large,7,1.9,7,3.2,No,3049.24
normal,female,omnivore,less frequently,natural gas,public,diesel,sometimes,438.35,very frequently,2418.0,medium,7,3.4,6,11.7,Yes,5531.68
normal,female,pescatarian,daily,natural gas,private,none,never,351.48,rarely,780.0,large,3,1.3,1,1.2,Sometimes,3870.59
normal,female,omnivore,less frequently,electricity,public,electric,often,327.86,frequently,902.0,small,5,8.9,1,11.2,No,3520.65
normal,male,omnivore,twice a day,wood,public,none,often,287.29,rarely,1983.0,large,6,6.5,3,10.1,Yes,2212.96
underweight,female,omnivore,more frequently,coal,public,electric,never,481.18,rarely,2087.0,small,9,8.3,4,5.6,No,3659.11
overweight,female,pescatarian,daily,wood,private,electric,sometimes,663.49,very frequently,2112.0,large,3,5.7,4,4.5,No,7008.96
underweight,male,omnivore,daily,natural gas,private,diesel,never,317.53,frequently,2048.0,small,3,6.4,1,2.8,No,5461.04
underweight,female,pescatarian,twice a day,natural gas,private,diesel,never,233.07,frequently,1178.0,medium,5,7.3,6,2.5,Sometimes,4481.5
normal,female,vegan,twice a day,coal,private,none,sometimes,432.84,never,1185.0,medium,2,9.2,7,7.1,No,3846.97
obese,female,omnivore,twice a day,coal,private,hybrid,often,148.32,rarely,764.0,large,3,1.8,1,2.2,Sometimes,4328.3
underweight,male,pescatarian,less frequently,coal,public,hybrid,never,590.9,never,471.0,medium,6,4.0,3,6.2,Sometimes,2661.84
normal,male,omnivore,less frequently,electricity,private,none,sometimes,462.85,rarely,2078.0,large,3,7.4,2,10.0,Sometimes,3907.1
obese,male,vegetarian,twice a day,natural gas,public,electric,often,447.46,rarely,280.0,small,1,9.6,3,9.3,Sometimes,2290.93
underweight,female,omnivore,more frequently,electricity,private,diesel,never,310.31,frequently,2813.0,extra large,7,9.8,4,2.5,No,5426.5
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,none,never,733.27,frequently,2480.0,small,7,6.7,5,11.6,Yes,3746.29
overweight,male,vegetarian,daily,coal,private,hybrid,often,163.34,rarely,2573.0,extra large,2,2.7,1,4.1,Yes,4005.86
normal,male,vegan,less frequently,natural gas,private,electric,never,708.88,never,2720.0,medium,5,2.1,9,8.8,Yes,4114.92
obese,male,pescatarian,more frequently,natural gas,public,hybrid,never,363.69,frequently,1226.0,medium,9,9.5,5,4.3,Yes,3530.51
