Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Ford,Model_1840,TWO-SEATER,5.3,4,A,X,13.5,10.6,12.2,19.0,276
Toyota,Model_1841,MID-SIZE,2.5,4,A,E,10.5,8.2,9.4,25.0,208
Toyota,Model_1842,TWO-SEATER,3.2,4,M,X,9.2,7.1,8.3,28.0,202
GM,Model_1843,SUV - STANDARD,2.9,4,AV,E,10.5,8.2,9.4,25.0,212
Honda,Model_1844,FULL-SIZE,2.5,6,AM,X,9.3,7.2,8.3,28.0,193
Hyundai,Model_1845,TWO-SEATER,4.1,4,AV,X,11.5,9.0,10.4,23.0,238
VW,Model_1846,TWO-SEATER,4.0,4,AS,X,10.5,8.2,9.4,25.0,222
Toyota,Model_1847,SUV - SMALL,2.9,3,AV,D,7.5,5.8,6.7,35.0,175
Ford,Model_1848,FULL-SIZE,1.2,4,AS,X,4.4,3.4,3.9,60.0,94
GM,Model_1849,STATION WAGON,2.0,4,M,Z,6.6,5.1,5.9,40.0,130
Mercedes,Model_1850,COMPACT,4.2,4,AV,X,12.0,9.3,10.8,22.0,251
Honda,Model_1851,FULL-SIZE,1.3,4,A,X,4.0,3.0,3.5,67.0,77
Ford,Model_1852,FULL-SIZE,5.6,4,AV,X,16.2,12.6,14.6,16.0,341
Ford,Model_1853,STATION WAGON,3.1,4,AV,D,7.4,5.8,6.7,35.0,181
GM,Model_1854,MID-SIZE,2.1,6,A,D,5.8,4.6,5.3,44.0,143
Honda,Model_1855,PICKUP TRUCK,5.5,6,AV,Z,15.5,12.1,13.9,17.0,329
Mercedes,Model_1856,STATION WAGON,3.4,4,M,Z,11.6,9.0,10.4,23.0,248
Toyota,Model_1857,SUV - STANDARD,3.6,6,AV,E,14.2,11.1,12.8,18.0,295
Mercedes,Model_1858,SUV - STANDARD,5.3,4,AV,D,12.5,9.8,11.3,21.0,298
Toyota,Model_1859,FULL-SIZE,6.2,4,AM,X,16.8,13.1,15.2,15.0,348
Hyundai,Model_1860,COMPACT,6.1,3,AS,Z,15.2,11.9,13.7,17.0,317
GM,Model_1861,PICKUP TRUCK,3.4,4,AM,X,10.1,7.9,9.1,26.0,217
Hyundai,Model_1862,SUV - STANDARD,1.6,3,A,N,4.0,3.0,3.5,67.0,77
GM,Model_1863,COMPACT,5.6,4,AS,X,13.8,10.8,12.4,19.0,289
BMW,Model_1864,TWO-SEATER,2.8,4,M,X,8.2,6.4,7.4,32.0,166
BMW,Model_1865,TWO-SEATER,4.1,4,AV,X,12.6,9.8,11.4,21.0,259
Toyota,Model_1866,MINIVAN,1.4,8,AM,Z,4.9,3.8,4.4,53.0,101
VW,Model_1867,MID-SIZE,1.2,6,M,Z,5.0,3.9,4.5,52.0,113
Hyundai,Model_1868,SUV - STANDARD,4.4,6,AV,Z,12.6,9.8,11.4,21.0,266
Honda,Model_1869,PICKUP TRUCK,2.5,4,M,N,6.9,5.4,6.2,38.0,142
Ford,Model_1870,SUV - STANDARD,3.9,4,A,D,9.5,7.4,8.5,28.0,227
Honda,Model_1871,MINIVAN,5.8,8,M,Z,16.0,12.5,14.5,16.0,348
VW,Model_1872,COMPACT,3.4,6,M,X,9.4,7.3,8.4,28.0,201
Hyundai,Model_1873,STATION WAGON,5.8,6,M,X,16.2,12.7,14.6,16.0,344
Toyota,Model_1874,SUV - SMALL,3.7,6,AS,X,11.7,9.2,10.6,22.0,245
Hyundai,Model_1875,SUV - SMALL,4.4,8,AM,X,11.3,8.8,10.1,23.0,233
BMW,Model_1876,STATION WAGON,1.6,6,AM,X,6.4,5.0,5.7,41.0,135
Honda,Model_1877,FULL-SIZE,4.2,8,M,Z,11.0,8.6,9.9,24.0,234
Honda,Model_1878,SUV - SMALL,4.9,4,AM,E,15.8,12.3,14.2,17.0,324
Honda,Model_1879,STATION WAGON,2.5,6,A,Z,7.1,5.5,6.4,37.0,145
VW,Model_1880,MID-SIZE,5.4,4,M,X,15.6,12.1,14.0,17.0,313
Ford,Model_1881,PICKUP TRUCK,3.9,4,AM,X,11.2,8.7,10.1,23.0,231
BMW,Model_1882,PICKUP TRUCK,2.1,8,AV,Z,7.2,5.6,6.5,36.0,156
Mercedes,Model_1883,STATION WAGON,1.0,4,M,Z,4.0,3.0,3.5,67.0,84
BMW,Model_1884,SUV - STANDARD,2.5,8,AM,N,7.1,5.6,6.4,37.0,149
Toyota,Model_1885,STATION WAGON,2.6,6,AS,E,10.7,8.3,9.6,25.0,223
Honda,Model_1886,TWO-SEATER,1.6,4,A,X,4.7,3.7,4.2,56.0,99
Mercedes,Model_1887,SUV - SMALL,3.3,4,AM,Z,9.6,7.5,8.7,27.0,209
Ford,Model_1888,FULL-SIZE,5.9,8,M,X,17.1,13.3,15.4,15.0,352
BMW,Model_1889,SUV - STANDARD,4.4,4,AV,X,12.9,10.1,11.6,20.0,266
Honda,Model_1890,TWO-SEATER,1.2,8,AV,D,4.6,3.6,4.1,57.0,109
Toyota,Model_1891,SUV - STANDARD,1.6,4,AV,Z,6.0,4.7,5.4,44.0,118
Honda,Model_1892,STATION WAGON,1.4,6,AV,D,4.0,3.1,3.5,67.0,93
BMW,Model_1893,SUV - SMALL,3.8,6,AM,N,11.3,8.8,10.2,23.0,235
VW,Model_1894,TWO-SEATER,3.9,6,A,Z,11.6,9.0,10.4,23.0,243
Hyundai,Model_1895,MID-SIZE,3.7,6,AM,X,9.6,7.5,8.6,27.0,198
BMW,Model_1896,SUV - SMALL,1.8,4,AS,X,4.3,3.3,3.9,60.0,95
Toyota,Model_1897,COMPACT,4.3,6,M,E,17.1,13.3,15.4,15.0,355
Ford,Model_1898,SUV - SMALL,3.7,4,M,X,10.9,8.5,9.8,24.0,229
BMW,Model_1899,TWO-SEATER,3.8,4,A,D,9.6,7.5,8.6,27.0,230
BMW,Model_1900,TWO-SEATER,1.6,6,M,Z,6.8,5.3,6.1,39.0,140
GM,Model_1901,SUV - SMALL,4.8,8,A,E,19.4,15.1,17.5,13.0,407
BMW,Model_1902,MINIVAN,4.6,8,AM,Z,14.5,11.3,13.0,18.0,301
Mercedes,Model_1903,FULL-SIZE,3.3,4,AS,Z,8.6,6.7,7.7,31.0,176
GM,Model_1904,FULL-SIZE,3.2,4,AM,X,9.7,7.6,8.7,27.0,203
Ford,Model_1905,MID-SIZE,4.5,4,AV,X,13.2,10.3,11.9,20.0,282
Ford,Model_1906,MINIVAN,2.2,8,AV,X,8.4,6.6,7.6,31.0,177
Ford,Model_1907,SUV - STANDARD,5.7,8,AM,Z,16.1,12.6,14.5,16.0,334
BMW,Model_1908,SUV - SMALL,5.2,6,A,X,16.2,12.6,14.6,16.0,342
BMW,Model_1909,MID-SIZE,5.3,8,AM,X,16.6,12.9,15.0,16.0,360
GM,Model_1910,SUV - SMALL,3.6,4,A,X,8.9,6.9,8.0,29.0,183
Mercedes,Model_1911,COMPACT,3.9,4,A,X,12.6,9.9,11.4,21.0,269
Mercedes,Model_1912,SUV - STANDARD,3.1,4,A,E,11.9,9.3,10.7,22.0,254
Mercedes,Model_1913,SUV - SMALL,3.7,4,AS,E,12.2,9.5,11.0,21.0,259
Toyota,Model_1914,STATION WAGON,5.9,4,AV,X,15.0,11.7,13.6,17.0,307
Honda,Model_1915,FULL-SIZE,2.3,6,AS,Z,6.0,4.7,5.4,44.0,121
VW,Model_1916,MID-SIZE,1.5,4,AV,D,4.0,3.0,3.5,67.0,98
Ford,Model_1917,SUV - SMALL,1.8,4,AM,N,6.2,4.8,5.6,42.0,124
BMW,Model_1918,MID-SIZE,5.4,6,AS,Z,13.0,10.2,11.7,20.0,270
Ford,Model_1919,COMPACT,6.2,8,AS,Z,17.4,13.6,15.7,15.0,365
Honda,Model_1920,MINIVAN,5.9,3,A,X,16.9,13.2,15.3,15.0,355
Hyundai,Model_1921,SUV - SMALL,4.2,8,AM,E,17.4,13.5,15.6,15.0,359
VW,Model_1922,COMPACT,6.4,6,A,D,14.7,11.4,13.2,18.0,354
Hyundai,Model_1923,FULL-SIZE,3.4,4,M,D,7.8,6.1,7.0,34.0,186
Toyota,Model_1924,COMPACT,2.6,6,AS,N,6.9,5.4,6.2,38.0,149
GM,Model_1925,SUV - SMALL,6.2,8,A,Z,16.9,13.1,15.2,15.0,358
Honda,Model_1926,MID-SIZE,2.0,4,AV,E,8.2,6.4,7.4,32.0,165
BMW,Model_1927,SUV - SMALL,1.9,4,M,E,7.5,5.9,6.8,35.0,162
Honda,Model_1928,MINIVAN,2.6,4,AS,Z,7.1,5.5,6.4,37.0,150
Ford,Model_1929,MINIVAN,3.6,4,AM,X,9.7,7.6,8.8,27.0,208
Hyundai,Model_1930,FULL-SIZE,1.5,4,M,X,5.0,3.9,4.5,52.0,110
BMW,Model_1931,SUV - SMALL,5.8,4,AM,X,16.0,12.5,14.4,16.0,330
Ford,Model_1932,FULL-SIZE,6.3,4,AS,D,15.2,11.9,13.7,17.0,370
GM,Model_1933,SUV - STANDARD,6.2,8,M,E,24.7,19.2,22.0,11.0,515
Toyota,Model_1934,COMPACT,3.7,4,A,N,8.0,6.3,7.2,33.0,177
Honda,Model_1935,MINIVAN,3.7,4,AV,X,10.0,7.8,9.0,26.0,215
BMW,Model_1936,SUV - SMALL,1.9,4,M,Z,5.1,4.0,4.6,51.0,104
VW,Model_1937,SUV - SMALL,5.7,3,A,E,21.0,16.4,18.9,12.0,437
GM,Model_1938,TWO-SEATER,1.5,8,AS,X,5.6,4.4,5.1,46.0,110
Toyota,Model_1939,FULL-SIZE,3.7,6,AS,N,9.0,7.0,8.1,29.0,195
Ford,Model_1940,MINIVAN,2.6,4,A,D,6.5,5.1,5.9,40.0,156
Honda,Model_1941,TWO-SEATER,5.2,6,AM,Z,14.0,10.9,12.6,19.0,298
GM,Model_1942,SUV - SMALL,3.4,4,M,Z,9.4,7.3,8.4,28.0,192
Ford,Model_1943,COMPACT,6.3,6,M,D,15.2,11.8,13.7,17.0,368
Ford,Model_1944,FULL-SIZE,2.0,8,A,Z,7.1,5.6,6.4,37.0,147
VW,Model_1945,COMPACT,5.6,8,AM,X,15.7,12.2,14.1,17.0,329
Honda,Model_1946,TWO-SEATER,1.0,4,A,Z,4.0,3.0,3.5,67.0,81
BMW,Model_1947,SUV - SMALL,6.3,3,A,E,23.0,17.9,20.7,11.0,476
VW,Model_1948,SUV - STANDARD,4.3,6,AM,X,11.9,9.3,10.7,22.0,247
Hyundai,Model_1949,TWO-SEATER,2.9,4,M,Z,7.1,5.6,6.4,37.0,148
BMW,Model_1950,SUV - SMALL,1.2,3,AV,D,4.5,3.5,4.1,57.0,118
Honda,Model_1951,STATION WAGON,2.7,6,A,X,9.2,7.1,8.2,29.0,182
VW,Model_1952,PICKUP TRUCK,5.2,6,A,X,14.6,11.4,13.1,18.0,302
Honda,Model_1953,MINIVAN,3.4,4,AS,D,6.3,4.9,5.7,41.0,158
Honda,Model_1954,STATION WAGON,2.6,6,A,Z,8.1,6.3,7.3,32.0,176
Mercedes,Model_1955,SUV - SMALL,4.5,6,AS,X,13.4,10.4,12.1,19.0,285
Honda,Model_1956,SUV - STANDARD,3.2,4,AV,X,9.7,7.5,8.7,27.0,200
GM,Model_1957,SUV - SMALL,1.5,4,AV,D,4.0,3.0,3.5,67.0,85
VW,Model_1958,COMPACT,6.4,3,M,Z,16.4,12.8,14.8,16.0,338
Honda,Model_1959,SUV - STANDARD,2.9,6,AV,D,6.7,5.2,6.0,39.0,161
Hyundai,Model_1960,SUV - SMALL,6.3,3,AM,Z,16.7,13.0,15.0,16.0,346
Honda,Model_1961,COMPACT,1.6,8,AM,X,5.5,4.3,5.0,47.0,114
Ford,Model_1962,MID-SIZE,4.7,3,M,E,15.4,12.0,13.9,17.0,320
Hyundai,Model_1963,TWO-SEATER,3.3,12,M,Z,11.9,9.3,10.8,22.0,242
VW,Model_1964,MINIVAN,5.5,4,AS,X,16.6,12.9,14.9,16.0,341
Toyota,Model_1965,PICKUP TRUCK,2.3,4,A,D,5.6,4.4,5.1,46.0,131
BMW,Model_1966,FULL-SIZE,1.2,6,AS,Z,4.2,3.2,3.7,64.0,83
VW,Model_1967,COMPACT,5.1,3,AM,Z,12.7,9.9,11.5,20.0,277
Hyundai,Model_1968,MINIVAN,5.0,3,AM,X,14.1,11.0,12.7,19.0,286
Honda,Model_1969,COMPACT,4.7,4,AS,Z,13.1,10.2,11.8,20.0,279
VW,Model_1970,COMPACT,5.7,4,AV,Z,15.2,11.9,13.7,17.0,313
Mercedes,Model_1971,STATION WAGON,2.9,6,A,D,7.7,6.0,6.9,34.0,179
GM,Model_1972,MINIVAN,1.5,4,AM,X,5.4,4.2,4.8,49.0,109
VW,Model_1973,STATION WAGON,6.5,6,A,X,17.4,13.6,15.7,15.0,358
Hyundai,Model_1974,SUV - SMALL,1.9,4,AM,Z,5.8,4.5,5.2,45.0,128
Ford,Model_1975,TWO-SEATER,2.8,4,AM,X,7.9,6.2,7.1,33.0,170
BMW,Model_1976,COMPACT,3.3,4,AS,Z,8.3,6.5,7.5,31.0,172
Hyundai,Model_1977,STATION WAGON,1.3,4,AS,Z,4.1,3.2,3.7,64.0,82
GM,Model_1978,STATION WAGON,4.1,6,AM,Z,11.6,9.0,10.4,23.0,234
GM,Model_1979,FULL-SIZE,5.1,3,AV,Z,12.9,10.1,11.6,20.0,260
Mercedes,Model_1980,STATION WAGON,4.2,4,AS,E,13.4,10.5,12.1,19.0,280
Mercedes,Model_1981,SUV - STANDARD,2.2,4,A,D,6.1,4.7,5.5,43.0,150
Mercedes,Model_1982,TWO-SEATER,6.2,4,M,X,17.3,13.5,15.6,15.0,369
Hyundai,Model_1983,SUV - SMALL,2.3,4,AV,X,6.4,5.0,5.7,41.0,133
VW,Model_1984,SUV - STANDARD,3.9,3,AV,Z,10.9,8.5,9.9,24.0,223
Ford,Model_1985,SUV - SMALL,3.6,4,M,E,12.5,9.7,11.3,21.0,258
Hyundai,Model_1986,TWO-SEATER,1.0,6,AV,Z,4.0,3.0,3.5,67.0,81
Toyota,Model_1987,SUV - SMALL,4.7,4,AV,E,18.3,14.3,16.5,14.0,381
Honda,Model_1988,STATION WAGON,3.7,6,AM,X,11.7,9.1,10.5,22.0,250
VW,Model_1989,SUV - SMALL,3.2,4,M,X,9.5,7.4,8.6,27.0,196
Honda,Model_1990,MINIVAN,3.5,4,AS,N,8.9,7.0,8.1,29.0,189
GM,Model_1991,FULL-SIZE,4.4,4,AS,D,11.0,8.6,9.9,24.0,271
Hyundai,Model_1992,SUV - SMALL,1.5,4,M,X,4.9,3.8,4.4,53.0,104
Ford,Model_1993,FULL-SIZE,2.3,3,A,E,9.2,7.1,8.2,29.0,185
Hyundai,Model_1994,SUV - STANDARD,5.7,4,A,Z,15.0,11.7,13.5,17.0,316
Toyota,Model_1995,MINIVAN,5.6,3,AV,X,13.9,10.8,12.5,19.0,295
Ford,Model_1996,COMPACT,1.3,4,AV,E,6.5,5.1,5.9,40.0,133
Honda,Model_1997,TWO-SEATER,1.0,4,M,Z,4.0,3.0,3.5,67.0,80
Honda,Model_1998,STATION WAGON,5.6,8,M,Z,15.6,12.2,14.1,17.0,320
Ford,Model_1999,MINIVAN,2.0,8,AS,Z,6.7,5.2,6.0,39.0,138
Ford,Model_2000,SUV - STANDARD,6.1,6,AM,E,23.2,18.1,20.9,11.0,485
BMW,Model_2001,FULL-SIZE,4.6,4,A,Z,11.6,9.0,10.4,23.0,243
Honda,Model_2002,MID-SIZE,1.2,6,M,Z,4.0,3.1,3.6,65.0,96
Toyota,Model_2003,COMPACT,3.9,6,A,D,10.4,8.1,9.4,25.0,253
Ford,Model_2004,TWO-SEATER,4.3,8,AS,E,17.2,13.4,15.5,15.0,361
GM,Model_2005,PICKUP TRUCK,3.8,8,AM,E,16.0,12.5,14.4,16.0,329
Ford,Model_2006,TWO-SEATER,5.3,8,A,E,18.9,14.8,17.1,14.0,393
BMW,Model_2007,SUV - SMALL,3.4,4,M,X,8.1,6.3,7.3,32.0,166
BMW,Model_2008,MINIVAN,5.8,8,AM,X,19.1,14.9,17.2,14.0,406
Toyota,Model_2009,STATION WAGON,6.3,8,M,X,18.4,14.4,16.6,14.0,375
VW,Model_2010,MINIVAN,4.0,8,M,Z,10.7,8.3,9.6,25.0,219
BMW,Model_2011,PICKUP TRUCK,2.1,8,AS,Z,7.8,6.1,7.0,34.0,161
Hyundai,Model_2012,COMPACT,5.6,4,A,E,19.2,15.0,17.3,14.0,390
VW,Model_2013,COMPACT,4.7,4,M,X,12.1,9.4,10.9,22.0,255
Mercedes,Model_2014,FULL-SIZE,6.1,4,AS,Z,15.2,11.9,13.7,17.0,309
BMW,Model_2015,MID-SIZE,1.8,6,AM,X,6.5,5.1,5.9,40.0,131
Ford,Model_2016,SUV - SMALL,4.4,6,AM,Z,12.8,10.0,11.5,20.0,267
Toyota,Model_2017,PICKUP TRUCK,2.5,4,AM,X,5.9,4.6,5.3,44.0,122
BMW,Model_2018,TWO-SEATER,5.9,6,AV,E,21.3,16.6,19.2,12.0,442
Honda,Model_2019,COMPACT,1.1,4,AM,Z,4.0,3.0,3.5,67.0,83
BMW,Model_2020,STATION WAGON,5.4,4,AV,X,14.8,11.5,13.3,18.0,306
Mercedes,Model_2021,PICKUP TRUCK,5.5,6,M,E,20.1,15.7,18.1,13.0,427
GM,Model_2022,SUV - STANDARD,4.4,4,A,X,12.1,9.4,10.9,22.0,250
Honda,Model_2023,MID-SIZE,1.7,6,M,X,6.1,4.8,5.5,43.0,124
GM,Model_2024,TWO-SEATER,2.3,4,AV,E,9.1,7.1,8.2,29.0,195
VW,Model_2025,FULL-SIZE,2.7,4,M,X,7.5,5.8,6.8,35.0,149
BMW,Model_2026,PICKUP TRUCK,3.4,4,AM,Z,11.0,8.6,9.9,24.0,223
Toyota,Model_2027,FULL-SIZE,3.9,8,A,X,12.0,9.3,10.8,22.0,244
BMW,Model_2028,SUV - STANDARD,1.4,4,A,X,5.0,3.9,4.5,52.0,98
Toyota,Model_2029,TWO-SEATER,6.1,8,A,X,17.0,13.3,15.4,15.0,353
Ford,Model_2030,MINIVAN,4.7,4,A,X,14.0,10.9,12.6,19.0,300
Mercedes,Model_2031,STATION WAGON,5.3,4,AV,X,13.5,10.6,12.2,19.0,275
Mercedes,Model_2032,FULL-SIZE,3.1,12,AM,Z,10.7,8.4,9.7,24.0,224
Hyundai,Model_2033,MINIVAN,3.6,6,M,Z,10.0,7.8,9.0,26.0,211
Toyota,Model_2034,SUV - SMALL,2.0,8,AM,Z,6.7,5.3,6.1,39.0,139
Ford,Model_2035,TWO-SEATER,5.0,4,AS,X,14.0,10.9,12.6,19.0,285
Mercedes,Model_2036,MINIVAN,5.1,6,AV,D,11.9,9.3,10.7,22.0,284
Honda,Model_2037,SUV - SMALL,4.1,8,AM,X,12.5,9.8,11.3,21.0,269
VW,Model_2038,TWO-SEATER,6.4,4,AS,X,17.2,13.4,15.5,15.0,360
Toyota,Model_2039,SUV - SMALL,1.9,4,M,Z,5.2,4.1,4.7,50.0,102
GM,Model_2040,TWO-SEATER,1.3,6,AV,N,4.0,3.0,3.5,67.0,84
Hyundai,Model_2041,STATION WAGON,4.9,8,AS,X,14.6,11.3,13.1,18.0,306
BMW,Model_2042,PICKUP TRUCK,1.5,4,A,D,5.8,4.5,5.2,45.0,138
Toyota,Model_2043,MID-SIZE,2.0,4,AV,X,7.1,5.5,6.4,37.0,152
GM,Model_2044,PICKUP TRUCK,4.2,4,AS,X,11.6,9.0,10.4,23.0,240
Toyota,Model_2045,SUV - SMALL,5.7,6,AV,E,19.8,15.5,17.9,13.0,409
Mercedes,Model_2046,PICKUP TRUCK,1.9,6,AS,D,5.7,4.5,5.2,45.0,144
Toyota,Model_2047,STATION WAGON,5.6,8,AS,E,21.2,16.5,19.1,12.0,448
GM,Model_2048,SUV - SMALL,2.4,6,AM,X,8.2,6.4,7.4,32.0,160
Mercedes,Model_2049,MID-SIZE,6.1,4,M,D,15.1,11.8,13.6,17.0,359
Honda,Model_2050,PICKUP TRUCK,3.9,4,AS,Z,11.5,9.0,10.4,23.0,245
Mercedes,Model_2051,FULL-SIZE,1.3,4,A,X,5.6,4.3,5.0,47.0,114
Hyundai,Model_2052,FULL-SIZE,3.7,6,AM,D,9.0,7.1,8.1,29.0,210
Hyundai,Model_2053,FULL-SIZE,1.3,4,A,X,4.0,3.0,3.5,67.0,79
Mercedes,Model_2054,FULL-SIZE,5.6,6,A,X,16.0,12.5,14.4,16.0,331
BMW,Model_2055,TWO-SEATER,2.2,6,AM,E,9.4,7.3,8.4,28.0,190
Toyota,Model_2056,MID-SIZE,2.6,3,AV,X,6.8,5.3,6.1,39.0,147
Honda,Model_2057,SUV - SMALL,4.9,6,M,X,14.0,10.9,12.6,19.0,289
Honda,Model_2058,SUV - STANDARD,4.3,6,AM,Z,10.9,8.5,9.9,24.0,228
Honda,Model_2059,SUV - STANDARD,1.2,6,M,Z,4.6,3.6,4.2,56.0,103
Ford,Model_2060,TWO-SEATER,1.9,4,AV,X,5.2,4.1,4.7,50.0,106
Mercedes,Model_2061,SUV - SMALL,1.9,4,A,E,8.2,6.4,7.4,32.0,174
Ford,Model_2062,MID-SIZE,5.6,6,M,E,22.1,17.2,19.9,12.0,458
BMW,Model_2063,TWO-SEATER,2.8,6,M,X,9.4,7.3,8.4,28.0,186
GM,Model_2064,MINIVAN,5.5,4,AS,X,14.8,11.5,13.3,18.0,308
VW,Model_2065,SUV - STANDARD,3.5,3,AM,Z,8.4,6.6,7.6,31.0,175
Mercedes,Model_2066,MID-SIZE,5.9,4,AV,N,14.5,11.3,13.0,18.0,306
Mercedes,Model_2067,STATION WAGON,6.0,4,A,Z,15.3,11.9,13.8,17.0,321
Hyundai,Model_2068,STATION WAGON,6.3,4,AV,X,17.1,13.4,15.4,15.0,356
VW,Model_2069,TWO-SEATER,2.0,12,AS,E,12.9,10.0,11.6,20.0,271
VW,Model_2070,COMPACT,3.2,4,AV,X,7.9,6.2,7.1,33.0,159
GM,Model_2071,TWO-SEATER,4.1,4,A,Z,10.3,8.0,9.2,26.0,219
Hyundai,Model_2072,SUV - SMALL,1.6,6,AM,X,7.0,5.4,6.3,37.0,136
Hyundai,Model_2073,FULL-SIZE,3.0,6,A,X,9.9,7.7,8.9,26.0,199
Hyundai,Model_2074,TWO-SEATER,5.0,4,A,X,13.5,10.5,12.2,19.0,281
BMW,Model_2075,PICKUP TRUCK,2.6,4,A,Z,6.7,5.3,6.1,39.0,139
Toyota,Model_2076,PICKUP TRUCK,3.2,4,A,Z,7.1,5.6,6.4,37.0,159
Hyundai,Model_2077,MINIVAN,3.3,6,AS,E,13.4,10.5,12.1,19.0,267
BMW,Model_2078,MID-SIZE,2.9,8,A,X,8.4,6.6,7.6,31.0,166
Honda,Model_2079,TWO-SEATER,1.6,6,A,E,5.7,4.4,5.1,46.0,122
VW,Model_2080,SUV - STANDARD,6.3,4,AS,Z,17.2,13.4,15.5,15.0,361
VW,Model_2081,FULL-SIZE,4.8,4,AV,E,18.6,14.5,16.8,14.0,377
Hyundai,Model_2082,MINIVAN,3.5,6,M,Z,9.8,7.6,8.8,27.0,202
Hyundai,Model_2083,COMPACT,5.7,6,AM,X,15.9,12.4,14.3,16.0,325
Toyota,Model_2084,SUV - SMALL,1.1,4,M,Z,4.0,3.0,3.5,67.0,78
Toyota,Model_2085,PICKUP TRUCK,1.4,12,AS,E,10.4,8.1,9.4,25.0,214
BMW,Model_2086,FULL-SIZE,3.7,8,M,X,12.2,9.5,11.0,21.0,255
Mercedes,Model_2087,TWO-SEATER,2.4,6,AS,X,8.4,6.5,7.6,31.0,176
Ford,Model_2088,PICKUP TRUCK,1.4,4,AM,Z,4.4,3.4,3.9,60.0,80
Toyota,Model_2089,MINIVAN,3.1,6,AM,Z,7.2,5.6,6.5,36.0,145
VW,Model_2090,PICKUP TRUCK,3.4,8,AV,N,8.9,6.9,8.0,29.0,189
GM,Model_2091,PICKUP TRUCK,5.7,8,M,X,15.7,12.2,14.1,17.0,325
BMW,Model_2092,STATION WAGON,3.0,4,M,Z,8.9,6.9,8.0,29.0,185
Ford,Model_2093,PICKUP TRUCK,1.7,4,AV,N,4.7,3.6,4.2,56.0,102
Ford,Model_2094,FULL-SIZE,3.0,6,AV,Z,9.6,7.5,8.6,27.0,208
VW,Model_2095,SUV - STANDARD,5.3,8,A,X,15.1,11.7,13.6,17.0,319
Toyota,Model_2096,MINIVAN,5.4,4,A,X,15.6,12.1,14.0,17.0,321
VW,Model_2097,MID-SIZE,4.0,4,M,D,7.6,6.0,6.9,34.0,184
BMW,Model_2098,FULL-SIZE,6.4,4,AV,Z,16.4,12.8,14.8,16.0,338
Honda,Model_2099,COMPACT,5.7,4,AV,X,15.6,12.1,14.0,17.0,328
Toyota,Model_2100,TWO-SEATER,3.5,4,AM,Z,9.0,7.0,8.1,29.0,192
VW,Model_2101,TWO-SEATER,2.6,8,AV,D,7.5,5.9,6.8,35.0,180
Hyundai,Model_2102,COMPACT,3.1,6,A,E,12.5,9.7,11.3,21.0,263
GM,Model_2103,FULL-SIZE,4.6,6,AM,X,12.5,9.8,11.3,21.0,264
VW,Model_2104,TWO-SEATER,2.5,8,AM,Z,7.4,5.8,6.7,35.0,148
Ford,Model_2105,STATION WAGON,3.1,4,M,E,12.9,10.1,11.6,20.0,270
Hyundai,Model_2106,TWO-SEATER,1.8,3,M,X,4.4,3.4,3.9,60.0,88
Hyundai,Model_2107,COMPACT,6.1,6,AV,X,18.2,14.2,16.4,14.0,376
Hyundai,Model_2108,SUV - SMALL,4.7,6,AV,X,13.4,10.4,12.1,19.0,280
Ford,Model_2109,MINIVAN,2.5,8,M,Z,9.6,7.5,8.6,27.0,197
Honda,Model_2110,TWO-SEATER,4.9,4,AV,D,12.2,9.5,11.0,21.0,297
GM,Model_2111,SUV - STANDARD,4.6,8,M,X,13.9,10.8,12.5,19.0,293
VW,Model_2112,FULL-SIZE,4.2,3,A,D,9.7,7.5,8.7,27.0,233
VW,Model_2113,COMPACT,6.1,6,AM,Z,17.4,13.6,15.7,15.0,361
GM,Model_2114,MINIVAN,5.3,4,AS,Z,14.5,11.3,13.1,18.0,313
BMW,Model_2115,STATION WAGON,5.3,6,AS,X,15.1,11.8,13.6,17.0,316
Toyota,Model_2116,COMPACT,1.4,4,AS,Z,4.9,3.8,4.4,53.0,103
Honda,Model_2117,SUV - SMALL,2.6,8,A,X,7.8,6.0,7.0,34.0,160
Mercedes,Model_2118,FULL-SIZE,2.1,12,AS,X,9.0,7.0,8.1,29.0,187
GM,Model_2119,COMPACT,1.8,4,AS,X,6.2,4.9,5.6,42.0,127
Hyundai,Model_2120,TWO-SEATER,5.2,4,M,Z,13.2,10.3,11.9,20.0,271
VW,Model_2121,STATION WAGON,2.0,4,M,Z,5.7,4.5,5.1,46.0,115
BMW,Model_2122,MINIVAN,3.5,4,AS,Z,8.5,6.6,7.6,31.0,176
GM,Model_2123,TWO-SEATER,5.3,8,AV,X,15.0,11.7,13.6,17.0,320
Honda,Model_2124,SUV - STANDARD,6.0,6,M,E,20.8,16.2,18.7,13.0,424
GM,Model_2125,PICKUP TRUCK,6.3,12,A,D,16.1,12.6,14.5,16.0,383
Hyundai,Model_2126,SUV - SMALL,3.2,6,A,Z,8.5,6.6,7.6,31.0,179
VW,Model_2127,FULL-SIZE,3.7,4,AS,E,12.8,10.0,11.5,20.0,268
Mercedes,Model_2128,TWO-SEATER,4.3,4,AV,X,11.6,9.1,10.5,22.0,246
Hyundai,Model_2129,MINIVAN,5.9,4,AS,X,15.7,12.2,14.1,17.0,318
